CPSE,Material_Code,Material_Description,Material_Category,Material_Type,Specification,Material_Grade,Size,Length,Diameter,Coating,Unit,Manufacturer,Manufacturer_Part_No,Plant,Material_Status,Annual_Consumption,Last_Purchase_Date,Normalized_Description,Normalized_Specification,Normalized_Material_Grade,Normalized_Size,Normalized_Coating,Normalized_Manufacturer,Normalized_Manufacturer_Part_No,Normalized_Unit,Normalization_Changed,Normalization_Rule_Count,Normalization_Rules_Applied
IOCL,IOCL-132479,SPIRAL GASKET 6 in,Seals,Gasket,ASME B16.20; 6 in; Graphite/SS 316,Graphite/SS 316,6 in,,,SS,NOS,Eastern Cables,EAS-821-73,Panipat Refinery,Active,1153,2024-01-25,spiral gasket 6 in,asme b16.20; 6 in; graphite/ss 316,graphite/ss 316,6 in,ss,Eastern Cables,EAS-821-73,NOS,True,1,LOWERCASE_TEXT
ONGC,ONGC-455970,ELBOW 6 in ASTM A234 WPB,Pipes & Fittings,Elbow,ASME B16.9; 6 in; ASTM A234 WPB,ASTM A234 WPB,6 in,,,Bare,MTR,Hindustan Mechanical,HIN-590-98,Ahmedabad Asset,Active,18208,2024-04-23,elbow 6 in astm a234 wpb,asme b16.9; 6 in; astm a234 wpb,astm a234 wpb,6 in,bare,Hindustan Mechanical,HIN-590-98,MTR,True,1,LOWERCASE_TEXT
CPCL,CPCL-666844,SAFETY VALVE 4 in,Safety,Safety Valve,API 526; 4 in; SS 316,SS 316,4 in,,,SS,NOS,Prime Electricals,PRI-361-47,Manali Terminal,Active,4055,2025-03-30,safety valve 4 in,api 526; 4 in; ss 316,ss 316,4 in,ss,Prime Electricals,PRI-361-47,NOS,True,1,LOWERCASE_TEXT
IOCL,IOCL-107135,GLOBE VALVE FLANGED 4 in ASTM A216 WCB,Valves,Globe Valve,API 623; 4 in; ASTM A216 WCB,ASTM A216 WCB,4 in,,,Painted,NOS,Shree Valves & Fittings,SHR-908-61,Mathura Refinery,Active,10598,2024-12-06,globe valve flanged 4 in astm a216 wcb,api 623; 4 in; astm a216 wcb,astm a216 wcb,4 in,painted,Shree Valves & Fittings,SHR-908-61,NOS,True,1,LOWERCASE_TEXT
CPCL,CPCL-676122,HIGH PRESSURE HYDRAULIC HOSE 1/2 in,Hoses,Hydraulic Hose,SAE 100 R2; 1/2 in; 1000 mm,Synthetic Rubber,1/2 in,1000 mm,,Rubber,MTR,Prime Electricals,PRI-457-35,Chennai Refinery,Active,21218,2025-11-14,high pressure hydraulic hose 1/2 in,sae 100 r2; 1/2 in; 1000 mm,synthetic rubber,1/2 in,rubber,Prime Electricals,PRI-457-35,MTR,True,1,LOWERCASE_TEXT
ONGC,ONGC-165810,GEAR OIL ISO VG 320,Lubricants,Lubricant,IS 10522; ISO VG 320,Mineral Oil,ISO VG 320,,,,LTR,Precision Fasteners,PRE-480-26,Ahmedabad Asset,Active,17688,2025-12-21,gear oil iso vg 320,is 10522; iso vg 320,mineral oil,iso vg 320,,Precision Fasteners,PRE-480-26,LTR,True,1,LOWERCASE_TEXT
HPCL,HPCL-284129,GLOBE VALVE FLANGED 2 in ASTM A216 WCB,Valves,Globe Valve,API 623; 2 in; ASTM A216 WCB,ASTM A216 WCB,2 in,,,Painted,NOS,Metro Pumps & Valves,MET-283-59,Visakh Refinery,Active,10215,2024-08-30,globe valve flanged 2 in astm a216 wcb,api 623; 2 in; astm a216 wcb,astm a216 wcb,2 in,painted,Metro Pumps & Valves,MET-283-59,NOS,True,1,LOWERCASE_TEXT
ONGC,ONGC-536992,HEX BOLT M10-40 ZINC PLATED,Fasteners,Bolt,IS 1363; M10 x 40 mm; Zinc Plated,Carbon Steel,M10,40 mm,16 mm,Zinc Plated,NOS,ABC Industrial Products,ABC-160-45,Mumbai Offshore,Active,12129,2026-07-22,hexagonal bolt m10-40 zinc plated,is 1363; m10 x 40 mm; zinc plated,carbon steel,m10,zinc plated,ABC Industrial Products,ABC-160-45,NOS,True,2,LOWERCASE_TEXT;ABBREVIATION_EXPANSION
HPCL,HPCL-278481,CARTRIDGE FUSE 63 A,Electrical,Fuse,IS 13703; 63 A,Ceramic,63 A,,,,MTR,Apex Industrial Systems,APE-845-10,Visakh Refinery,Active,1966,2025-09-06,cartridge fuse 63 a,is 13703; 63 a,ceramic,63 a,,Apex Industrial Systems,APE-845-10,MTR,True,1,LOWERCASE_TEXT
ONGC,ONGC-908531,FLAT WASHER M16,Fasteners,Washer,IS 2016; M16; Zinc Plated,Carbon Steel,M16,,,Zinc Plated,NOS,ABC Industrial Products,ABC-384-64,Mehsana Asset,Active,4848,2026-07-07,flat washer m16,is 2016; m16; zinc plated,carbon steel,m16,zinc plated,ABC Industrial Products,ABC-384-64,NOS,True,1,LOWERCASE_TEXT
HPCL,HPCL-565724,RTD PT100 4-wire 500 MM,Instrumentation,Temperature Sensor,IEC 60751; 4-wire; 500 mm,Pt100,4-wire,500 mm,8 mm,SS,NOS,Prime Electricals,PRI-559-31,Mumbai Refinery,Active,14636,2024-08-03,rtd pt100 4-wire 500 mm,iec 60751; 4-wire; 500 mm,pt100,4-wire,ss,Prime Electricals,PRI-559-31,NOS,True,1,LOWERCASE_TEXT
HPCL,HPCL-529325,HYD HOSE 1/2 in 5000 MM,Hoses,Hydraulic Hose,SAE 100 R2; 1/2 in; 5000 mm,Synthetic Rubber,1/2 in,5000 mm,,Rubber,MTR,Apex Industrial Systems,APE-289-95,Vishakha Terminal,Active,23021,2026-02-05,hyd hose 1/2 in 5000 mm,sae 100 r2; 1/2 in; 5000 mm,synthetic rubber,1/2 in,rubber,Apex Industrial Systems,APE-289-95,MTR,True,1,LOWERCASE_TEXT
IOCL,IOCL-711773,GATE VALVE FLANGED 3 in,Valves,Gate Valve,API 600; 3 in; ASTM A216 WCB,ASTM A216 WCB,3 in,,,Painted,NOS,Hindustan Mechanical,HIN-930-86,Panipat Refinery,Active,20955,2024-07-16,gate valve flanged 3 in,api 600; 3 in; astm a216 wcb,astm a216 wcb,3 in,painted,Hindustan Mechanical,HIN-930-86,NOS,True,1,LOWERCASE_TEXT
ONGC,ONGC-773407,POWER CABLE 1.5 sq mm XLPE Copper,Electrical,Cable,IS 7098; 1.5 sq mm; 100 m,XLPE Copper,1.5 sq mm,100 mm,,PVC,MTR,Hindustan Mechanical,HIN-776-98,Mehsana Asset,Active,11883,2025-10-11,power cable 1.5 sq mm xlpe copper,is 7098; 1.5 sq mm; 100 m,xlpe copper,1.5 sq mm,pvc,Hindustan Mechanical,HIN-776-98,MTR,True,1,LOWERCASE_TEXT
ONGC,ONGC-998181,4 sq mm SQ MM POWER CABLE,Electrical,Cable,IS 7098; 4 sq mm; 100 m,XLPE Copper,4 sq mm,100 mm,,PVC,MTR,Hindustan Mechanical,HIN-800-19,Mumbai Offshore,Active,8122,2024-11-12,4 sq mm sq mm power cable,is 7098; 4 sq mm; 100 m,xlpe copper,4 sq mm,pvc,Hindustan Mechanical,HIN-800-19,MTR,True,1,LOWERCASE_TEXT
ONGC,ONGC-854134,HRC CARTRIDGE 63 A,Electrical,Fuse,IS 13703; 63 A,Ceramic,63 A,,,,MTR,Supreme Engineering,SUP-565-73,Ahmedabad Asset,Active,14928,2025-02-04,high rupturing capacity cartridge 63 a,is 13703; 63 a,ceramic,63 a,,Supreme Engineering,SUP-565-73,MTR,True,2,LOWERCASE_TEXT;ABBREVIATION_EXPANSION
ONGC,ONGC-656679,BALL VALVE 3 in API 608,Valves,Ball Valve,API 608; 3 in; SS 316,SS 316,3 in,,,SS,NOS,ABC Industrial Products,ABC-512-83,Mumbai Offshore,Active,9649,2026-09-04,ball valve 3 in api 608,api 608; 3 in; ss 316,ss 316,3 in,ss,ABC Industrial Products,ABC-512-83,NOS,True,1,LOWERCASE_TEXT
ONGC,ONGC-840387,WELD NECK FLANGE 2 in ASTM A105,Pipes & Fittings,Flange,ASME B16.5; 2 in; ASTM A105,ASTM A105,2 in,,,Bare,MTR,Larsen Engineering,LAR-660-31,Mehsana Asset,Active,24356,2024-02-08,weld neck flange 2 in astm a105,asme b16.5; 2 in; astm a105,astm a105,2 in,bare,Larsen Engineering,LAR-660-31,MTR,True,1,LOWERCASE_TEXT
IOCL,IOCL-987244,GATE VALVE FLANGED 6 in,Valves,Gate Valve,API 600; 6 in; ASTM A216 WCB,ASTM A216 WCB,6 in,,,Painted,NOS,Larsen Engineering,LAR-594-53,Panipat Refinery,Active,15035,2025-07-30,gate valve flanged 6 in,api 600; 6 in; astm a216 wcb,astm a216 wcb,6 in,painted,Larsen Engineering,LAR-594-53,NOS,True,1,LOWERCASE_TEXT
HPCL,HPCL-227444,XLPE CABLE 35 sq mm,Electrical,Cable,IS 7098; 35 sq mm; 500 m,XLPE Aluminium,35 sq mm,500 mm,,PVC,MTR,National Bearing Works,NAT-788-11,Mumbai Refinery,Active,6872,2025-08-31,xlpe cable 35 sq mm,is 7098; 35 sq mm; 500 m,xlpe aluminium,35 sq mm,pvc,National Bearing Works,NAT-788-11,MTR,True,1,LOWERCASE_TEXT
ONGC,ONGC-137546,POWER CABLE 6 sq mm XLPE Copper,Electrical,Cable,IS 7098; 6 sq mm; 100 m,XLPE Copper,6 sq mm,100 mm,,PVC,MTR,Larsen Engineering,LAR-282-70,Mehsana Asset,Active,19074,2025-10-10,power cable 6 sq mm xlpe copper,is 7098; 6 sq mm; 100 m,xlpe copper,6 sq mm,pvc,Larsen Engineering,LAR-282-70,MTR,True,1,LOWERCASE_TEXT
CPCL,CPCL-210645,XLPE CABLE 10 sq mm,Electrical,Cable,IS 7098; 10 sq mm; 100 m,XLPE Copper,10 sq mm,100 mm,,PVC,MTR,Larsen Engineering,LAR-581-10,Manali Terminal,Active,15322,2026-01-02,xlpe cable 10 sq mm,is 7098; 10 sq mm; 100 m,xlpe copper,10 sq mm,pvc,Larsen Engineering,LAR-581-10,MTR,True,1,LOWERCASE_TEXT
CPCL,CPCL-504322,ELBOW 1 in ASTM A234 WPB,Pipes & Fittings,Elbow,ASME B16.9; 1 in; ASTM A234 WPB,ASTM A234 WPB,1 in,,,Bare,MTR,Prime Electricals,PRI-902-60,Chennai Refinery,Inactive,10069,2025-11-12,elbow 1 in astm a234 wpb,asme b16.9; 1 in; astm a234 wpb,astm a234 wpb,1 in,bare,Prime Electricals,PRI-902-60,MTR,True,1,LOWERCASE_TEXT
CPCL,CPCL-747521,CARTRIDGE FUSE 32 A,Electrical,Fuse,IS 13703; 32 A,Ceramic,32 A,,,,MTR,Apex Industrial Systems,APE-786-78,Chennai Refinery,Active,4235,2025-07-05,cartridge fuse 32 a,is 13703; 32 a,ceramic,32 a,,Apex Industrial Systems,APE-786-78,MTR,True,1,LOWERCASE_TEXT
IOCL,IOCL-619338,RTD SENSOR 3-wire,Instrumentation,Temperature Sensor,IEC 60751; 3-wire; 150 mm,Pt100,3-wire,150 mm,6 mm,SS,NOS,Hindustan Mechanical,HIN-377-36,Paradip Refinery,Active,594,2025-07-06,rtd sensor 3-wire,iec 60751; 3-wire; 150 mm,pt100,3-wire,ss,Hindustan Mechanical,HIN-377-36,NOS,True,1,LOWERCASE_TEXT
IOCL,IOCL-386073,SWG 2 in,Seals,Gasket,ASME B16.20; 2 in; Graphite/SS 316,Graphite/SS 316,2 in,,,SS,NOS,Hindustan Mechanical,HIN-329-31,Paradip Refinery,Blocked,15007,2024-06-08,swg 2 in,asme b16.20; 2 in; graphite/ss 316,graphite/ss 316,2 in,ss,Hindustan Mechanical,HIN-329-31,NOS,True,1,LOWERCASE_TEXT
ONGC,ONGC-802351,CENTRIFUGAL PUMP 40 mm SS 316,Pumps,Centrifugal Pump,API 610; 40 mm; SS 316,SS 316,40 mm,,,Painted,NOS,Hindustan Mechanical,HIN-771-68,Mumbai Offshore,Active,4846,2024-04-12,centrifugal pump 40 mm stainless steel 316,api 610; 40 mm; ss 316,ss 316,40 mm,painted,Hindustan Mechanical,HIN-771-68,NOS,True,2,LOWERCASE_TEXT;ABBREVIATION_EXPANSION
IOCL,IOCL-416703,XLPE CABLE 50 sq mm,Electrical,Cable,IS 7098; 50 sq mm; 500 m,XLPE Aluminium,50 sq mm,500 mm,,PVC,MTR,Apex Industrial Systems,APE-134-75,Paradip Refinery,Active,13861,2026-05-18,xlpe cable 50 sq mm,is 7098; 50 sq mm; 500 m,xlpe aluminium,50 sq mm,pvc,Apex Industrial Systems,APE-134-75,MTR,True,1,LOWERCASE_TEXT
ONGC,ONGC-746053,GLOBE VALVE FLANGED 3 in,Valves,Globe Valve,API 623; 3 in; ASTM A216 WCB,ASTM A216 WCB,3 in,,,Painted,NOS,Supreme Engineering,SUP-258-39,Mehsana Asset,Active,4774,2026-06-06,globe valve flanged 3 in,api 623; 3 in; astm a216 wcb,astm a216 wcb,3 in,painted,Supreme Engineering,SUP-258-39,NOS,True,1,LOWERCASE_TEXT
HPCL,HPCL-374186,PLAIN WASHER M8 ZINC PLATED,Fasteners,Washer,IS 2016; M8; Zinc Plated,Carbon Steel,M8,,,Zinc Plated,NOS,Eastern Cables,EAS-210-13,Visakh Refinery,Active,6561,2026-03-19,plain washer m8 zinc plated,is 2016; m8; zinc plated,carbon steel,m8,zinc plated,Eastern Cables,EAS-210-13,NOS,True,1,LOWERCASE_TEXT
ONGC,ONGC-663196,BEARING NO 6203,Bearings,Ball Bearing,ISO 15; Bearing 6203,Chrome Steel,6203,,,,NOS,Prime Electricals,PRI-878-23,Mehsana Asset,Active,7912,2024-12-30,bearing number 6203,iso 15; bearing 6203,chrome steel,6203,,Prime Electricals,PRI-878-23,NOS,True,2,LOWERCASE_TEXT;ABBREVIATION_EXPANSION
HPCL,HPCL-119068,SAFETY VALVE 3 in,Safety,Safety Valve,API 526; 3 in; SS 316,SS 316,3 in,,,SS,NOS,Hindustan Mechanical,HIN-898-64,Vishakha Terminal,Active,16518,2025-09-29,safety valve 3 in,api 526; 3 in; ss 316,ss 316,3 in,ss,Hindustan Mechanical,HIN-898-64,NOS,True,1,LOWERCASE_TEXT
ONGC,ONGC-591535,HEXAGONAL NUT M16 GALVANIZED,Fasteners,Nut,IS 1364; M16; Galvanized,Carbon Steel,M16,,,Galvanized,NOS,National Bearing Works,NAT-632-64,Mumbai Offshore,Active,16933,2025-08-26,hexagonal nut m16 galvanized,is 1364; m16; galvanized,carbon steel,m16,galvanized,National Bearing Works,NAT-632-64,NOS,True,1,LOWERCASE_TEXT
IOCL,IOCL-416962,HRC CARTRIDGE 32 A,Electrical,Fuse,IS 13703; 32 A,Ceramic,32 A,,,,MTR,Eastern Cables,EAS-209-39,Mathura Refinery,Active,10043,2025-08-22,high rupturing capacity cartridge 32 a,is 13703; 32 a,ceramic,32 a,,Eastern Cables,EAS-209-39,MTR,True,2,LOWERCASE_TEXT;ABBREVIATION_EXPANSION
CPCL,CPCL-272119,XLPE CABLE 10 sq mm,Electrical,Cable,IS 7098; 10 sq mm; 100 m,XLPE Copper,10 sq mm,100 mm,,PVC,MTR,Apex Industrial Systems,APE-732-27,Manali Terminal,Active,349,2024-10-01,xlpe cable 10 sq mm,is 7098; 10 sq mm; 100 m,xlpe copper,10 sq mm,pvc,Apex Industrial Systems,APE-732-27,MTR,True,1,LOWERCASE_TEXT
CPCL,CPCL-243070,90 DEGREE ELBOW 1 in ASME B16.9,Pipes & Fittings,Elbow,ASME B16.9; 1 in; ASTM A234 WPB,ASTM A234 WPB,1 in,,,Bare,MTR,Precision Fasteners,PRE-100-75,Manali Terminal,Active,196,2025-03-23,90 degree elbow 1 in asme b16.9,asme b16.9; 1 in; astm a234 wpb,astm a234 wpb,1 in,bare,Precision Fasteners,PRE-100-75,MTR,True,1,LOWERCASE_TEXT
IOCL,IOCL-101705,GATE VALVE FLANGED 2 in ASTM A216 WCB,Valves,Gate Valve,API 600; 2 in; ASTM A216 WCB,ASTM A216 WCB,2 in,,,Painted,NOS,Supreme Engineering,SUP-259-65,Panipat Refinery,Active,8820,2024-03-15,gate valve flanged 2 in astm a216 wcb,api 600; 2 in; astm a216 wcb,astm a216 wcb,2 in,painted,Supreme Engineering,SUP-259-65,NOS,True,1,LOWERCASE_TEXT
CPCL,CPCL-772748,SWG 3 in,Seals,Gasket,ASME B16.20; 3 in; Graphite/SS 316,Graphite/SS 316,3 in,,,SS,NOS,Supreme Engineering,SUP-598-26,Chennai Refinery,Active,5638,2024-05-08,swg 3 in,asme b16.20; 3 in; graphite/ss 316,graphite/ss 316,3 in,ss,Supreme Engineering,SUP-598-26,NOS,True,1,LOWERCASE_TEXT
CPCL,CPCL-519290,HEXAGONAL BOLT M8X40 ZINC PLATED,Fasteners,Bolt,IS 1363; M8 x 40 mm; Zinc Plated,Carbon Steel,M8,40 mm,8 mm,Zinc Plated,NOS,Hindustan Mechanical,HIN-711-94,Chennai Refinery,Active,3767,2026-06-02,hexagonal bolt m8x40 zinc plated,is 1363; m8 x 40 mm; zinc plated,carbon steel,m8,zinc plated,Hindustan Mechanical,HIN-711-94,NOS,True,1,LOWERCASE_TEXT
CPCL,CPCL-328114,WELD NECK FLANGE 2 in ASTM A105,Pipes & Fittings,Flange,ASME B16.5; 2 in; ASTM A105,ASTM A105,2 in,,,Bare,MTR,Larsen Engineering,LAR-773-92,Chennai Refinery,Active,13260,2024-05-06,weld neck flange 2 in astm a105,asme b16.5; 2 in; astm a105,astm a105,2 in,bare,Larsen Engineering,LAR-773-92,MTR,True,1,LOWERCASE_TEXT
HPCL,HPCL-835330,HIGH PRESSURE HYDRAULIC HOSE 1 in,Hoses,Hydraulic Hose,SAE 100 R2; 1 in; 1000 mm,Synthetic Rubber,1 in,1000 mm,,Rubber,MTR,Precision Fasteners,PRE-758-40,Vishakha Terminal,Active,18505,2025-01-26,high pressure hydraulic hose 1 in,sae 100 r2; 1 in; 1000 mm,synthetic rubber,1 in,rubber,Precision Fasteners,PRE-758-40,MTR,True,1,LOWERCASE_TEXT
HPCL,HPCL-146530,DEEP GROOVE BEARING 6207,Bearings,Ball Bearing,ISO 15; Bearing 6207,Chrome Steel,6207,,,,NOS,Hindustan Mechanical,HIN-401-30,Vishakha Terminal,Active,17224,2024-10-13,deep groove bearing 6207,iso 15; bearing 6207,chrome steel,6207,,Hindustan Mechanical,HIN-401-30,NOS,True,1,LOWERCASE_TEXT
ONGC,ONGC-938308,GATE VALVE 6 in API 600,Valves,Gate Valve,API 600; 6 in; ASTM A216 WCB,ASTM A216 WCB,6 in,,,Painted,NOS,National Bearing Works,NAT-396-45,Ahmedabad Asset,Active,17648,2026-08-24,gate valve 6 in api 600,api 600; 6 in; astm a216 wcb,astm a216 wcb,6 in,painted,National Bearing Works,NAT-396-45,NOS,True,1,LOWERCASE_TEXT
IOCL,IOCL-435083,4 sq mm SQ MM POWER CABLE,Electrical,Cable,IS 7098; 4 sq mm; 1000 m,XLPE Copper,4 sq mm,1000 mm,,PVC,MTR,Supreme Engineering,SUP-144-26,Panipat Refinery,Blocked,13737,2026-02-24,4 sq mm sq mm power cable,is 7098; 4 sq mm; 1000 m,xlpe copper,4 sq mm,pvc,Supreme Engineering,SUP-144-26,MTR,True,1,LOWERCASE_TEXT
ONGC,ONGC-135246,90 DEGREE ELBOW 2 in ASME B16.9,Pipes & Fittings,Elbow,ASME B16.9; 2 in; ASTM A234 WPB,ASTM A234 WPB,2 in,,,Bare,MTR,Precision Fasteners,PRE-166-33,Mehsana Asset,Active,23862,2024-06-02,90 degree elbow 2 in asme b16.9,asme b16.9; 2 in; astm a234 wpb,astm a234 wpb,2 in,bare,Precision Fasteners,PRE-166-33,MTR,True,1,LOWERCASE_TEXT
IOCL,IOCL-988023,PRESSURE INDICATOR 0-100 bar,Instrumentation,Pressure Gauge,EN 837-1; Range 0-100 bar,SS 304,0-100 bar,,,SS,NOS,ABC Industrial Products,ABC-143-89,Mathura Refinery,Active,4654,2026-04-27,pressure indicator 0-100 bar,en 837-1; range 0-100 bar,ss 304,0-100 bar,ss,ABC Industrial Products,ABC-143-89,NOS,True,1,LOWERCASE_TEXT
CPCL,CPCL-471137,GATE VALVE 2 in API 600,Valves,Gate Valve,API 600; 2 in; ASTM A216 WCB,ASTM A216 WCB,2 in,,,Painted,NOS,Precision Fasteners,PRE-776-62,Manali Terminal,Active,24557,2025-01-25,gate valve 2 in api 600,api 600; 2 in; astm a216 wcb,astm a216 wcb,2 in,painted,Precision Fasteners,PRE-776-62,NOS,True,1,LOWERCASE_TEXT
IOCL,IOCL-216758,4 sq mm SQ MM POWER CABLE,Electrical,Cable,IS 7098; 4 sq mm; 500 m,XLPE Copper,4 sq mm,500 mm,,PVC,MTR,Shree Valves & Fittings,SHR-227-26,Mathura Refinery,Active,12136,2024-01-01,4 sq mm sq mm power cable,is 7098; 4 sq mm; 500 m,xlpe copper,4 sq mm,pvc,Shree Valves & Fittings,SHR-227-26,MTR,True,1,LOWERCASE_TEXT
HPCL,HPCL-805346,XLPE CABLE 4 sq mm,Electrical,Cable,IS 7098; 4 sq mm; 100 m,XLPE Copper,4 sq mm,100 mm,,PVC,MTR,Larsen Engineering,LAR-927-21,Visakh Refinery,Active,5423,2024-02-16,xlpe cable 4 sq mm,is 7098; 4 sq mm; 100 m,xlpe copper,4 sq mm,pvc,Larsen Engineering,LAR-927-21,MTR,True,1,LOWERCASE_TEXT
ONGC,ONGC-126873,FLANGE 4 in ASTM A105,Pipes & Fittings,Flange,ASME B16.5; 4 in; ASTM A105,ASTM A105,4 in,,,Bare,MTR,Apex Industrial Systems,APE-325-96,Ahmedabad Asset,Active,20950,2025-07-12,flange 4 in astm a105,asme b16.5; 4 in; astm a105,astm a105,4 in,bare,Apex Industrial Systems,APE-325-96,MTR,True,1,LOWERCASE_TEXT
ONGC,ONGC-932274,FLAT WASHER M8,Fasteners,Washer,IS 2016; M8; Galvanized,Carbon Steel,M8,,,Galvanized,NOS,Metro Pumps & Valves,MET-508-53,Mehsana Asset,Active,22059,2024-07-12,flat washer m8,is 2016; m8; galvanized,carbon steel,m8,galvanized,Metro Pumps & Valves,MET-508-53,NOS,True,1,LOWERCASE_TEXT
CPCL,CPCL-949641,GEAR OIL EP 140,Lubricants,Lubricant,IS 10522; EP 140,Mineral Oil,EP 140,,,,LTR,National Bearing Works,NAT-863-74,Chennai Refinery,Active,8020,2026-03-08,gear oil ep 140,is 10522; ep 140,mineral oil,ep 140,,National Bearing Works,NAT-863-74,LTR,True,1,LOWERCASE_TEXT
HPCL,HPCL-176458,HEX NUT M8 GALVANIZED,Fasteners,Nut,IS 1364; M8; Galvanized,Carbon Steel,M8,,,Galvanized,NOS,Shree Valves & Fittings,SHR-316-71,Visakh Refinery,Active,156,2026-06-12,hexagonal nut m8 galvanized,is 1364; m8; galvanized,carbon steel,m8,galvanized,Shree Valves & Fittings,SHR-316-71,NOS,True,2,LOWERCASE_TEXT;ABBREVIATION_EXPANSION
HPCL,HPCL-476410,HRC CARTRIDGE 2 A,Electrical,Fuse,IS 13703; 2 A,Ceramic,2 A,,,,MTR,Bharat Industrial Works,BHA-608-32,Mumbai Refinery,Active,1970,2026-04-11,high rupturing capacity cartridge 2 a,is 13703; 2 a,ceramic,2 a,,Bharat Industrial Works,BHA-608-32,MTR,True,2,LOWERCASE_TEXT;ABBREVIATION_EXPANSION
ONGC,ONGC-917666,BEARING NO 6209,Bearings,Ball Bearing,ISO 15; Bearing 6209,Chrome Steel,6209,,,,NOS,Bharat Industrial Works,BHA-251-28,Mumbai Offshore,Active,8302,2026-01-10,bearing number 6209,iso 15; bearing 6209,chrome steel,6209,,Bharat Industrial Works,BHA-251-28,NOS,True,2,LOWERCASE_TEXT;ABBREVIATION_EXPANSION
IOCL,IOCL-185606,FLAT WASHER M20,Fasteners,Washer,IS 2016; M20; Galvanized,Carbon Steel,M20,,,Galvanized,NOS,Metro Pumps & Valves,MET-141-13,Mathura Refinery,Inactive,7016,2024-12-17,flat washer m20,is 2016; m20; galvanized,carbon steel,m20,galvanized,Metro Pumps & Valves,MET-141-13,NOS,True,1,LOWERCASE_TEXT
ONGC,ONGC-932738,GATE VALVE 3 in API 600,Valves,Gate Valve,API 600; 3 in; ASTM A216 WCB,ASTM A216 WCB,3 in,,,Painted,NOS,Hindustan Mechanical,HIN-480-47,Mehsana Asset,Active,20741,2025-11-02,gate valve 3 in api 600,api 600; 3 in; astm a216 wcb,astm a216 wcb,3 in,painted,Hindustan Mechanical,HIN-480-47,NOS,True,1,LOWERCASE_TEXT
ONGC,ONGC-726243,HEXAGONAL NUT M8 ZINC PLATED,Fasteners,Nut,IS 1364; M8; Zinc Plated,Carbon Steel,M8,,,Zinc Plated,NOS,ABC Industrial Products,ABC-996-15,Mumbai Offshore,Active,1974,2025-01-01,hexagonal nut m8 zinc plated,is 1364; m8; zinc plated,carbon steel,m8,zinc plated,ABC Industrial Products,ABC-996-15,NOS,True,1,LOWERCASE_TEXT
HPCL,HPCL-262051,INDUSTRIAL GEAR LUBRICANT EP 90,Lubricants,Lubricant,IS 10522; EP 90,Mineral Oil,EP 90,,,,LTR,Precision Fasteners,PRE-501-48,Vishakha Terminal,Active,6214,2024-03-14,industrial gear lubricant ep 90,is 10522; ep 90,mineral oil,ep 90,,Precision Fasteners,PRE-501-48,LTR,True,1,LOWERCASE_TEXT
ONGC,ONGC-384334,HRC FUSE 16 A,Electrical,Fuse,IS 13703; 16 A,Ceramic,16 A,,,,MTR,Shree Valves & Fittings,SHR-717-58,Mehsana Asset,Inactive,6518,2024-05-03,high rupturing capacity fuse 16 a,is 13703; 16 a,ceramic,16 a,,Shree Valves & Fittings,SHR-717-58,MTR,True,2,LOWERCASE_TEXT;ABBREVIATION_EXPANSION
IOCL,IOCL-107922,EP GEAR OIL ISO VG 220,Lubricants,Lubricant,IS 10522; ISO VG 220,Mineral Oil,ISO VG 220,,,,LTR,Precision Fasteners,PRE-908-20,Paradip Refinery,Active,22348,2025-01-17,ep gear oil iso vg 220,is 10522; iso vg 220,mineral oil,iso vg 220,,Precision Fasteners,PRE-908-20,LTR,True,1,LOWERCASE_TEXT
HPCL,HPCL-755346,PRESSURE GAUGE 0-10 bar,Instrumentation,Pressure Gauge,EN 837-1; Range 0-10 bar,SS 304,0-10 bar,,,SS,NOS,Shree Valves & Fittings,SHR-630-60,Mumbai Refinery,Active,2597,2026-05-13,pressure gauge 0-10 bar,en 837-1; range 0-10 bar,ss 304,0-10 bar,ss,Shree Valves & Fittings,SHR-630-60,NOS,True,1,LOWERCASE_TEXT
ONGC,ONGC-384078,POWER CABLE 16 sq mm XLPE Copper,Electrical,Cable,IS 7098; 16 sq mm; 100 m,XLPE Copper,16 sq mm,100 mm,,PVC,MTR,National Bearing Works,NAT-895-39,Ahmedabad Asset,Active,16653,2026-04-26,power cable 16 sq mm xlpe copper,is 7098; 16 sq mm; 100 m,xlpe copper,16 sq mm,pvc,National Bearing Works,NAT-895-39,MTR,True,1,LOWERCASE_TEXT
CPCL,CPCL-441795,10 sq mm SQ MM POWER CABLE,Electrical,Cable,IS 7098; 10 sq mm; 1000 m,XLPE Aluminium,10 sq mm,1000 mm,,PVC,MTR,Larsen Engineering,LAR-419-47,Manali Terminal,Active,17257,2025-07-21,10 sq mm sq mm power cable,is 7098; 10 sq mm; 1000 m,xlpe aluminium,10 sq mm,pvc,Larsen Engineering,LAR-419-47,MTR,True,1,LOWERCASE_TEXT
IOCL,IOCL-855168,GEAR OIL ISO VG 320,Lubricants,Lubricant,IS 10522; ISO VG 320,Mineral Oil,ISO VG 320,,,,LTR,Larsen Engineering,LAR-117-27,Paradip Refinery,Active,19812,2025-02-10,gear oil iso vg 320,is 10522; iso vg 320,mineral oil,iso vg 320,,Larsen Engineering,LAR-117-27,LTR,True,1,LOWERCASE_TEXT
