CPSE,Sector,Material_Code,Material_Description,Material_Category,Material_Type,Specification,Material_Grade,Size,Length,Diameter,Coating,Unit,Manufacturer,Manufacturer_Part_No,Plant,Material_Status,Annual_Consumption,Last_Purchase_Date,Unit_Price_INR
BHEL,Heavy Engineering,BHEL-500063,Induction Motor 4C x 25 sq mm XLPE Insulated,Electrical,Induction Motor,IS 7098,XLPE Insulated,4C x 25 sq mm,500 m,,,MTR,Siemens,SIE-IM-4Cx25sqmm-64,Ranipet Complex,Active,4720,2024-08-02,43227.31
NMDC,Mining,NMDC-410065,Induction Motor 4C x 25 sq mm XLPE Insulated,Electrical,Induction Motor,IS 7098,XLPE Insulated,4C x 25 sq mm,500 m,,,MTR,Siemens,SIE-IM-4Cx25sqmm-79,Donimalai Iron Ore Mine,Obsolete,2931,2024-06-10,32252.0
NTPC,Power,NTPC-200059,"STORES ITEM Check Valve, ASTM A216 WCB, SIZE 1 in",Valves,Check Valve,BS 1873,ASTM A216 WCB,1 in,,,,NOS,Leader Valves,LEAVAL-CV-1in-95,Ramagundam STPS,Active,9636,2025-05-11,13543.56
NMDC,Mining,NMDC-410066,IND.CHECK VALVE ASTM A216 WCB 1 in,Valves,Check Valve,BS 1873,ASTM A216 WCB,1 in,,,,NOS,Leader Valves,LEAVAL-CV-1in-19,Donimalai Iron Ore Mine,Active,7549,2024-07-17,11859.0
BHEL,Heavy Engineering,BHEL-500064,Check Valve 1 in ASTM A216 WCB,Valves,Check Valve,BS 1873,ASTM A216 WCB,1 in,,,,NOS,Leader Valves,LEAVAL-CV-1in-26,Bhopal Complex,Active,1870,2025-04-21,17806.22
IOCL,Oil & Gas,IOCL-110062,"SPARE-Check Valve, ASTM A216 WCB, SIZE 1 in",Valves,Check Valve,BS 1873,ASTM A216 WCB,1 in,,,,NOS,Leader Valves,LEAVAL-CV-1in-98,Gujarat Refinery,Slow-Moving,10502,2025-09-18,14568.72
ONGC,Oil & Gas,ONGC-100063,STORES ITEM Check Valve ASTM A216 WCB 1 in,Valves,Check Valve,BS 1873,ASTM A216 WCB,1 in,,,,NOS,Leader Valves,LEAVAL-CV-1in-71,Uran Plant,Slow-Moving,3596,2025-08-28,20126.64
BHEL,Heavy Engineering,BHEL-500065,OIL SEAL Viton 2 in,Seals,Oil Seal,ASME B16.20,Viton,2 in,,2 in,Zinc Plated,NOS,Chesterton,CHE-OS-2in-55,Hazira Complex,Active,1411,2025-07-25,24111.19
NMDC,Mining,NMDC-410067,IND.2 in Oil Seal - Viton,Seals,Oil Seal,ASME B16.20,Viton,2 in,,2 in,Zinc Plated,NOS,Chesterton,CHE-OS-2in-94,Kirandul Complex,Active,10660,2024-04-02,21449.78
HPCL,Oil & Gas,HPCL-120067,OIL SEAL 2 in Viton,Seals,Oil Seal,ASME B16.20,Viton,2 in,,2 in,Zinc Plated,NOS,Chesterton,CHE-OS-2in-40,Bhatinda Refinery,Obsolete,7648,2024-05-21,13213.44
ONGC,Oil & Gas,ONGC-100064,OIL SEAL 2 in Viton,Seals,Oil Seal,ASME B16.20,Viton,2 in,,2 in,Zinc Plated,NOS,Chesterton,CHE-OS-2in-24,Sivasagar Asset,Active,11367,2024-12-06,22803.09
BHEL,Heavy Engineering,BHEL-500066,"SPARE-Globe Valve, SS316, SIZE 4 in",Valves,Globe Valve,ASME B16.34,SS316,4 in,,,Epoxy Coated,NOS,L&T Valves,L&TVAL-GV-4in-72,Hazira Complex,Active,10683,2025-05-04,58868.98
ONGC,Oil & Gas,ONGC-100065,SPARE-4 in Globe Valve - SS316,Valves,Globe Valve,ASME B16.34,SS316,4 in,,,Epoxy Coated,NOS,L&T Valves,L&TVAL-GV-4in-90,Uran Plant,Slow-Moving,8300,2025-11-27,83528.16
NTPC,Power,NTPC-200060,STORES ITEM GLOBE VALVE SS316 4 in,Valves,Globe Valve,ASME B16.34,SS316,4 in,,,Epoxy Coated,NOS,L&T Valves,L&TVAL-GV-4in-09,Singrauli STPS,Active,13641,2024-05-05,65803.13
Coal India,Mining,CIL-400060,IND.Globe Valve SS316 4 in,Valves,Globe Valve,ASME B16.34,SS316,4 in,,,Epoxy Coated,NOS,L&T Valves,L&TVAL-GV-4in-58,Singareni Collieries,Active,6450,2024-07-02,65803.13
HPCL,Oil & Gas,HPCL-120068,"GLOBE VALVE, SS316, SIZE 4 in",Valves,Globe Valve,ASME B16.34,SS316,4 in,,,Epoxy Coated,NOS,L&T Valves,L&TVAL-GV-4in-14,Mumbai Refinery,Active,14385,2024-07-28,63830.76
IOCL,Oil & Gas,IOCL-110063,GLOBE VALVE LCB 2 in,Valves,Globe Valve,ASME B16.34,LCB,2 in,,2 in,,NOS,L&T Valves,L&TVAL-GV-2in-44,Mathura Refinery,Active,9343,2024-05-15,51965.58
ONGC,Oil & Gas,ONGC-100066,STORES ITEM 2 in Globe Valve - LCB,Valves,Globe Valve,ASME B16.34,LCB,2 in,,2 in,,NOS,L&T Valves,L&TVAL-GV-2in-22,Rajahmundry Asset,Obsolete,12661,2024-02-18,71537.5
NMDC,Mining,NMDC-410068,2 in Globe Valve - LCB,Valves,Globe Valve,ASME B16.34,LCB,2 in,,2 in,,NOS,L&T Valves,L&TVAL-GV-2in-59,Donimalai Iron Ore Mine,Active,2923,2025-12-26,45556.66
BHEL,Heavy Engineering,BHEL-500067,2 in Globe Valve - LCB,Valves,Globe Valve,ASME B16.34,LCB,2 in,,2 in,,NOS,L&T Valves,L&TVAL-GV-2in-21,Trichy Complex,Active,7273,2024-09-23,64420.89
SAIL,Steel,SAIL-300073,"SPARE-GLOBE VALVE, LCB, SIZE 2 in",Valves,Globe Valve,ASME B16.34,LCB,2 in,,2 in,,NOS,L&T Valves,L&TVAL-GV-2in-72,Rourkela Steel Plant,Active,8895,2024-06-15,51965.58
Coal India,Mining,CIL-400061,SMLS PIPE Carbon Steel DN 150,Pipes & Fittings,Seamless Pipe,ASTM A106,Carbon Steel,DN 150,3 m,80 mm,PTFE Lined,MTR,Jindal Pipes,JINPIP-SP-DN150-73,Korba Coalfields,Slow-Moving,2334,2025-11-25,67921.07
HPCL,Oil & Gas,HPCL-120069,STORES ITEM DN 150 Seamless Pipe - Carbon Steel,Pipes & Fittings,Seamless Pipe,ASTM A106,Carbon Steel,DN 150,3 m,80 mm,PTFE Lined,MTR,Jindal Pipes,JINPIP-SP-DN150-04,Visakh Refinery,Active,951,2025-09-14,57629.52
BHEL,Heavy Engineering,BHEL-500068,Seamless Pipe DN 150 Carbon Steel,Pipes & Fittings,Seamless Pipe,ASTM A106,Carbon Steel,DN 150,3 m,80 mm,PTFE Lined,MTR,Jindal Pipes,JINPIP-SP-DN150-99,Trichy Complex,Active,7348,2025-11-24,57629.52
NMDC,Mining,NMDC-410069,STORES ITEM DN 150 Seamless Pipe - Carbon Steel,Pipes & Fittings,Seamless Pipe,ASTM A106,Carbon Steel,DN 150,3 m,80 mm,PTFE Lined,MTR,Jindal Pipes,JINPIP-SP-DN150-66,Bailadila Iron Ore Mine,Active,8431,2024-02-27,57783.27
NTPC,Power,NTPC-200061,SPARE-PIPE SMLS Carbon Steel DN 150,Pipes & Fittings,Seamless Pipe,ASTM A106,Carbon Steel,DN 150,3 m,80 mm,PTFE Lined,MTR,Jindal Pipes,JINPIP-SP-DN150-51,Vindhyachal STPS,Active,4713,2024-12-19,65229.71
NMDC,Mining,NMDC-410070,IND.3C x 95 sq mm Distribution Transformer - XLPE Insulated,Electrical,Distribution Transformer,IS 2026,XLPE Insulated,3C x 95 sq mm,500 m,,,MTR,Havells,HAV-DT-3Cx95sqmm-77,Kirandul Complex,Active,14263,2025-06-21,75815.26
HPCL,Oil & Gas,HPCL-120070,Distribution Transformer XLPE Insulated 3C x 95 sq mm,Electrical,Distribution Transformer,IS 2026,XLPE Insulated,3C x 95 sq mm,500 m,,,MTR,Havells,HAV-DT-3Cx95sqmm-76,Mumbai Refinery,Active,4528,2025-02-28,124980.16
Coal India,Mining,CIL-400062,IND.Distribution Transformer XLPE Insulated 3C x 95 sq mm,Electrical,Distribution Transformer,IS 2026,XLPE Insulated,3C x 95 sq mm,500 m,,,MTR,Havells,HAV-DT-3Cx95sqmm-91,Jharia Coalfields,Active,8087,2024-02-13,77865.58
BHEL,Heavy Engineering,BHEL-500069,DISTRIBUTION TRANSFORMER XLPE Insulated 3C x 95 sq mm,Electrical,Distribution Transformer,IS 2026,XLPE Insulated,3C x 95 sq mm,500 m,,,MTR,Havells,HAV-DT-3Cx95sqmm-75,Bhopal Complex,Active,13013,2024-01-03,115470.76
IOCL,Oil & Gas,IOCL-110064,SPARE-Distribution Transformer XLPE Insulated 3C x 95 sq mm,Electrical,Distribution Transformer,IS 2026,XLPE Insulated,3C x 95 sq mm,500 m,,,MTR,Havells,HAV-DT-3Cx95sqmm-82,Haldia Refinery,Active,14906,2025-12-05,76654.32
SAIL,Steel,SAIL-300074,3C x 95 sq mm DISTRIBUTION TRANSFORMER - XLPE Insulated,Electrical,Distribution Transformer,IS 2026,XLPE Insulated,3C x 95 sq mm,500 m,,,MTR,Havells,HAV-DT-3Cx95sqmm-16,Bhilai Steel Plant,Active,9316,2025-03-22,106408.65
IOCL,Oil & Gas,IOCL-110065,SPARE-WELDED PIPE DN 100 IS 2062,Pipes & Fittings,Welded Pipe,API 5L,IS 2062,DN 100,,25 mm,Epoxy Coated,MTR,Tata Steel,TATSTE-WP-DN100-35,Panipat Refinery,Active,8727,2025-10-16,10660.46
SAIL,Steel,SAIL-300075,"Welded Pipe, IS 2062, SIZE DN 100",Pipes & Fittings,Welded Pipe,API 5L,IS 2062,DN 100,,25 mm,Epoxy Coated,MTR,Tata Steel,TATSTE-WP-DN100-99,Rourkela Steel Plant,Active,14344,2024-11-19,14945.84
NMDC,Mining,NMDC-410071,DN 100 WELDED PIPE - IS 2062,Pipes & Fittings,Welded Pipe,API 5L,IS 2062,DN 100,,25 mm,Epoxy Coated,MTR,Tata Steel,TATSTE-WP-DN100-39,Kirandul Complex,Slow-Moving,261,2024-05-20,14167.66
NMDC,Mining,NMDC-410072,STORES ITEM EQUAL TEE DN 100 Carbon Steel,Pipes & Fittings,Equal Tee,API 5L,Carbon Steel,DN 100,3 m,DN 100,PTFE Lined,MTR,Tata Steel,TATSTE-ET-DN100-71,Kirandul Complex,Active,2200,2024-01-18,64777.29
NTPC,Power,NTPC-200062,STORES ITEM DN 100 Equal Tee - Carbon Steel,Pipes & Fittings,Equal Tee,API 5L,Carbon Steel,DN 100,3 m,DN 100,PTFE Lined,MTR,Tata Steel,TATSTE-ET-DN100-89,Vindhyachal STPS,Active,5041,2024-01-30,48275.54
Coal India,Mining,CIL-400063,IND.DN 100 Equal Tee - Carbon Steel,Pipes & Fittings,Equal Tee,API 5L,Carbon Steel,DN 100,3 m,DN 100,PTFE Lined,MTR,Tata Steel,TATSTE-ET-DN100-29,Talcher Coalfields,Active,2183,2024-03-21,61507.12
BHEL,Heavy Engineering,BHEL-500070,STORES ITEM EQUAL TEE DN 100 Carbon Steel,Pipes & Fittings,Equal Tee,API 5L,Carbon Steel,DN 100,3 m,DN 100,PTFE Lined,MTR,Tata Steel,TATSTE-ET-DN100-10,Hazira Complex,Active,587,2025-11-06,48275.54
BHEL,Heavy Engineering,BHEL-500071,SPARE-1/2 in Check Valve - SS316,Valves,Check Valve,API 600,SS316,1/2 in,,1/2 in,,NOS,L&T Valves,L&TVAL-CV-1-2in-04,Bhopal Complex,Active,14060,2025-05-27,40107.3
IOCL,Oil & Gas,IOCL-110066,Check Valve 1/2 in SS316,Valves,Check Valve,API 600,SS316,1/2 in,,1/2 in,,NOS,L&T Valves,L&TVAL-CV-1-2in-31,Mathura Refinery,Active,11777,2024-07-15,57795.56
NMDC,Mining,NMDC-410073,IND.Check Valve SS316 1/2 in,Valves,Check Valve,API 600,SS316,1/2 in,,1/2 in,,NOS,L&T Valves,L&TVAL-CV-1-2in-97,Bailadila Iron Ore Mine,Active,9706,2024-07-08,63240.2
NTPC,Power,NTPC-200063,SPARE-Mechanical Seal NBR 2 in,Seals,Mechanical Seal,API 682,NBR,2 in,,,,NOS,Flowserve,FLO-MS-2in-72,Vindhyachal STPS,Active,4696,2025-04-12,14603.25
SAIL,Steel,SAIL-300076,Mechanical Seal NBR 2 in,Seals,Mechanical Seal,API 682,NBR,2 in,,,,NOS,Flowserve,FLO-MS-2in-88,Durgapur Steel Plant,Active,14064,2025-03-14,17848.41
HPCL,Oil & Gas,HPCL-120071,Mechanical Seal NBR 2 in,Seals,Mechanical Seal,API 682,NBR,2 in,,,,NOS,Flowserve,FLO-MS-2in-61,Mumbai Refinery,Active,6544,2025-03-24,13196.0
ONGC,Oil & Gas,ONGC-100067,SPARE-30205 BALL BRG - Stainless Steel,Bearings,Ball Bearing,ISO 15,Stainless Steel,30205,,,,NOS,SKF,SKF-BB-30205-30,Mumbai Offshore Complex,Slow-Moving,13173,2025-10-21,29064.7
BHEL,Heavy Engineering,BHEL-500072,30205 BALL BRG - Stainless Steel,Bearings,Ball Bearing,ISO 15,Stainless Steel,30205,,,,NOS,SKF,SKF-BB-30205-61,Bhopal Complex,Active,7498,2024-04-20,28425.61
NTPC,Power,NTPC-200064,Ball Bearing 30205 Stainless Steel,Bearings,Ball Bearing,ISO 15,Stainless Steel,30205,,,,NOS,SKF,SKF-BB-30205-64,Dadri Plant,Slow-Moving,13653,2024-03-10,17364.18
SAIL,Steel,SAIL-300077,IND.30205 BALL BRG - Stainless Steel,Bearings,Ball Bearing,ISO 15,Stainless Steel,30205,,,,NOS,SKF,SKF-BB-30205-23,Bhilai Steel Plant,Active,1628,2024-03-19,20208.82
BHEL,Heavy Engineering,BHEL-500073,STORES ITEM OIL SEAL NBR 2 in,Seals,Oil Seal,API 682,NBR,2 in,,2 in,Zinc Plated,NOS,Sealol,SEA-OS-2in-58,Ranipet Complex,Active,2947,2025-07-24,8284.21
ONGC,Oil & Gas,ONGC-100068,"STORES ITEM OIL SEAL, NBR, SIZE 2 in",Seals,Oil Seal,API 682,NBR,2 in,,2 in,Zinc Plated,NOS,Sealol,SEA-OS-2in-91,Rajahmundry Asset,Active,6424,2025-05-14,7296.16
NTPC,Power,NTPC-200065,"STORES ITEM OIL SEAL, NBR, SIZE 2 in",Seals,Oil Seal,API 682,NBR,2 in,,2 in,Zinc Plated,NOS,Sealol,SEA-OS-2in-87,Korba STPS,Active,6462,2024-09-26,7683.56
NMDC,Mining,NMDC-410074,"IND.Rubber Gasket, NBR, SIZE 100 mm",Seals,Rubber Gasket,ASME B16.20,NBR,100 mm,,100 mm,Epoxy Coated,NOS,Flowserve,FLO-RG-100mm-53,Donimalai Iron Ore Mine,Active,5163,2025-08-29,2301.32
SAIL,Steel,SAIL-300078,IND.RUBBER GASKET 100 mm NBR,Seals,Rubber Gasket,ASME B16.20,NBR,100 mm,,100 mm,Epoxy Coated,NOS,Flowserve,FLO-RG-100mm-40,Bhilai Steel Plant,Active,662,2025-04-16,1920.23
HPCL,Oil & Gas,HPCL-120072,RUBBER GASKET NBR 100 mm,Seals,Rubber Gasket,ASME B16.20,NBR,100 mm,,100 mm,Epoxy Coated,NOS,Flowserve,FLO-RG-100mm-73,Visakh Refinery,Active,5235,2025-01-21,2812.72
HPCL,Oil & Gas,HPCL-120073,"FLOW METER, SS316, SIZE 0-500 Deg C",Instrumentation,Flow Meter,ASME B40.100,SS316,0-500 Deg C,,,,NOS,Honeywell,HON-FM-0-500DegC-56,Visakh Refinery,Active,828,2024-10-31,26367.03
SAIL,Steel,SAIL-300079,0-500 Deg C Flow Meter - SS316,Instrumentation,Flow Meter,ASME B40.100,SS316,0-500 Deg C,,,,NOS,Honeywell,HON-FM-0-500DegC-29,Bokaro Steel Plant,Active,9330,2025-06-27,31106.79
NMDC,Mining,NMDC-410075,0-500 Deg C FLOW METER - SS316,Instrumentation,Flow Meter,ASME B40.100,SS316,0-500 Deg C,,,,NOS,Honeywell,HON-FM-0-500DegC-45,Bailadila Iron Ore Mine,Active,8896,2024-11-16,21573.03
IOCL,Oil & Gas,IOCL-110067,"Flow Meter, SS316, SIZE 0-500 Deg C",Instrumentation,Flow Meter,ASME B40.100,SS316,0-500 Deg C,,,,NOS,Honeywell,HON-FM-0-500DegC-33,Barauni Refinery,Active,3539,2025-11-07,19656.53
NMDC,Mining,NMDC-410076,"O-RING, Graphite, SIZE 50 mm",Seals,O-Ring,DIN 3760,Graphite,50 mm,,50 mm,PTFE Lined,NOS,Sealol,SEA-O-50mm-37,Donimalai Iron Ore Mine,Active,1910,2024-06-02,10592.06
HPCL,Oil & Gas,HPCL-120074,O-RING Graphite 50 mm,Seals,O-Ring,DIN 3760,Graphite,50 mm,,50 mm,PTFE Lined,NOS,Sealol,SEA-O-50mm-40,Mumbai Refinery,Active,14888,2024-02-07,7149.93
BHEL,Heavy Engineering,BHEL-500074,"SPARE-O-RING, Graphite, SIZE 50 mm",Seals,O-Ring,DIN 3760,Graphite,50 mm,,50 mm,PTFE Lined,NOS,Sealol,SEA-O-50mm-18,Bhopal Complex,Active,741,2025-05-12,7202.95
Coal India,Mining,CIL-400064,O-RING Graphite 50 mm,Seals,O-Ring,DIN 3760,Graphite,50 mm,,50 mm,PTFE Lined,NOS,Sealol,SEA-O-50mm-11,Talcher Coalfields,Slow-Moving,11054,2025-11-04,10256.65
NTPC,Power,NTPC-200066,O-Ring 50 mm Graphite,Seals,O-Ring,DIN 3760,Graphite,50 mm,,50 mm,PTFE Lined,NOS,Sealol,SEA-O-50mm-93,Dadri Plant,Active,13632,2025-08-17,10801.27
BHEL,Heavy Engineering,BHEL-500075,2 in FLANGE - ASTM A106 Gr B,Pipes & Fittings,Flange,ASTM A106,ASTM A106 Gr B,2 in,1000 mm,80 mm,Epoxy Coated,MTR,Maharashtra Seamless,MAHSEA-F-2in-33,Ranipet Complex,Active,1900,2024-11-20,42567.53
IOCL,Oil & Gas,IOCL-110068,IND.2 in FLANGE - ASTM A106 Gr B,Pipes & Fittings,Flange,ASTM A106,ASTM A106 Gr B,2 in,1000 mm,80 mm,Epoxy Coated,MTR,Maharashtra Seamless,MAHSEA-F-2in-88,Barauni Refinery,Active,6075,2024-11-11,54149.12
ONGC,Oil & Gas,ONGC-100069,SPARE-Flange ASTM A106 Gr B 2 in,Pipes & Fittings,Flange,ASTM A106,ASTM A106 Gr B,2 in,1000 mm,80 mm,Epoxy Coated,MTR,Maharashtra Seamless,MAHSEA-F-2in-05,Uran Plant,Active,11528,2025-01-06,35080.97
NTPC,Power,NTPC-200067,STORES ITEM FLANGE 2 in ASTM A106 Gr B,Pipes & Fittings,Flange,ASTM A106,ASTM A106 Gr B,2 in,1000 mm,80 mm,Epoxy Coated,MTR,Maharashtra Seamless,MAHSEA-F-2in-69,Singrauli STPS,Slow-Moving,6488,2024-09-18,61134.07
HPCL,Oil & Gas,HPCL-120075,"SMLS PIPE, SS316L, SIZE DN 80",Pipes & Fittings,Seamless Pipe,IS 1239,SS316L,DN 80,3 m,200 mm,Epoxy Coated,MTR,Maharashtra Seamless,MAHSEA-SP-DN80-53,Bhatinda Refinery,Active,8345,2024-03-08,46579.72
ONGC,Oil & Gas,ONGC-100070,SMLS PIPE DN 80 SS316L,Pipes & Fittings,Seamless Pipe,IS 1239,SS316L,DN 80,3 m,200 mm,Epoxy Coated,MTR,Maharashtra Seamless,MAHSEA-SP-DN80-94,Uran Plant,Active,3060,2025-10-07,46579.72
NMDC,Mining,NMDC-410077,IND.DN 80 PIPE SMLS - SS316L,Pipes & Fittings,Seamless Pipe,IS 1239,SS316L,DN 80,3 m,200 mm,Epoxy Coated,MTR,Maharashtra Seamless,MAHSEA-SP-DN80-18,Kirandul Complex,Active,1397,2024-04-23,46579.72
NMDC,Mining,NMDC-410078,"HEX NUT, Carbon Steel, SIZE M20 x 80",Fasteners,Hex Nut,DIN 931,Carbon Steel,M20 x 80,80 mm,,None,NOS,Precision Fasteners,PREFAS-HN-M20x80-24,Donimalai Iron Ore Mine,Active,426,2025-07-25,250.0
ONGC,Oil & Gas,ONGC-100071,"SPARE-Hex Nut, Carbon Steel, SIZE M20 x 80",Fasteners,Hex Nut,DIN 931,Carbon Steel,M20 x 80,80 mm,,None,NOS,Precision Fasteners,PREFAS-HN-M20x80-12,Ankleshwar Asset,Active,10175,2025-03-15,296.03
HPCL,Oil & Gas,HPCL-120076,Hex Nut M20 x 80 Carbon Steel,Fasteners,Hex Nut,DIN 931,Carbon Steel,M20 x 80,80 mm,,None,NOS,Precision Fasteners,PREFAS-HN-M20x80-12,Mumbai Refinery,Active,8665,2025-03-21,296.03
SAIL,Steel,SAIL-300080,"IND.Hex Nut, Carbon Steel, SIZE M20 x 80",Fasteners,Hex Nut,DIN 931,Carbon Steel,M20 x 80,80 mm,,None,NOS,Precision Fasteners,PREFAS-HN-M20x80-87,Bokaro Steel Plant,Active,14171,2024-09-29,313.26
NTPC,Power,NTPC-200068,"IND.HEX NUT, Carbon Steel, SIZE M20 x 80",Fasteners,Hex Nut,DIN 931,Carbon Steel,M20 x 80,80 mm,,None,NOS,Precision Fasteners,PREFAS-HN-M20x80-49,Dadri Plant,Obsolete,4686,2025-11-24,250.0
IOCL,Oil & Gas,IOCL-110069,SPARE-M20 x 80 Hex Nut - Carbon Steel,Fasteners,Hex Nut,DIN 931,Carbon Steel,M20 x 80,80 mm,,None,NOS,Precision Fasteners,PREFAS-HN-M20x80-53,Gujarat Refinery,Active,7438,2024-09-11,250.0
BHEL,Heavy Engineering,BHEL-500076,"SPARE-Switchgear Panel, Copper, SIZE 3C x 95 sq mm",Electrical,Switchgear Panel,IS 2026,Copper,3C x 95 sq mm,,,,MTR,ABB,ABB-SP-3Cx95sqmm-13,Hazira Complex,Active,5854,2025-09-12,68225.92
HPCL,Oil & Gas,HPCL-120077,SPARE-Switchgear Panel Copper 3C x 95 sq mm,Electrical,Switchgear Panel,IS 2026,Copper,3C x 95 sq mm,,,,MTR,ABB,ABB-SP-3Cx95sqmm-91,Bhatinda Refinery,Active,6516,2025-11-18,78372.55
IOCL,Oil & Gas,IOCL-110070,IND.SWITCHGEAR PANEL Copper 3C x 95 sq mm,Electrical,Switchgear Panel,IS 2026,Copper,3C x 95 sq mm,,,,MTR,ABB,ABB-SP-3Cx95sqmm-06,Mathura Refinery,Obsolete,14433,2025-04-24,55821.2
NTPC,Power,NTPC-200069,SPARE-Switchgear Panel 3C x 95 sq mm Copper,Electrical,Switchgear Panel,IS 2026,Copper,3C x 95 sq mm,,,,MTR,ABB,ABB-SP-3Cx95sqmm-91,Vindhyachal STPS,Active,2145,2025-05-26,48325.76
SAIL,Steel,SAIL-300081,SPARE-3C x 95 sq mm SWITCHGEAR PANEL - Copper,Electrical,Switchgear Panel,IS 2026,Copper,3C x 95 sq mm,,,,MTR,ABB,ABB-SP-3Cx95sqmm-96,Durgapur Steel Plant,Active,12527,2024-09-27,75855.29
ONGC,Oil & Gas,ONGC-100072,INDUCTION MOTOR Aluminium 415V 100A,Electrical,Induction Motor,IEC 60502,Aluminium,415V 100A,500 m,,,MTR,BHEL,BHE-IM-415V100A-06,Sivasagar Asset,Active,1893,2024-05-31,45866.88
HPCL,Oil & Gas,HPCL-120078,IND.415V 100A Induction Motor - Aluminium,Electrical,Induction Motor,IEC 60502,Aluminium,415V 100A,500 m,,,MTR,BHEL,BHE-IM-415V100A-27,Mumbai Refinery,Active,10914,2025-08-22,39455.33
NTPC,Power,NTPC-200070,"INDUCTION MOTOR, Aluminium, SIZE 415V 100A",Electrical,Induction Motor,IEC 60502,Aluminium,415V 100A,500 m,,,MTR,BHEL,BHE-IM-415V100A-68,Singrauli STPS,Slow-Moving,11140,2024-04-06,42168.87
IOCL,Oil & Gas,IOCL-110071,SPARE-INDUCTION MOTOR 415V 100A Aluminium,Electrical,Induction Motor,IEC 60502,Aluminium,415V 100A,500 m,,,MTR,BHEL,BHE-IM-415V100A-37,Panipat Refinery,Slow-Moving,2569,2024-01-30,62808.1
Coal India,Mining,CIL-400065,SPARE-Induction Motor 415V 100A Aluminium,Electrical,Induction Motor,IEC 60502,Aluminium,415V 100A,500 m,,,MTR,BHEL,BHE-IM-415V100A-59,Jharia Coalfields,Active,7473,2024-11-28,38152.99
BHEL,Heavy Engineering,BHEL-500077,SPARE-INDUCTION MOTOR 415V 100A Aluminium,Electrical,Induction Motor,IEC 60502,Aluminium,415V 100A,500 m,,,MTR,BHEL,BHE-IM-415V100A-28,Trichy Complex,Slow-Moving,9014,2025-09-08,64644.32
ONGC,Oil & Gas,ONGC-100073,"SPARE-PRESSURE GAUGE, Brass, SIZE 4-20 mA",Instrumentation,Pressure Gauge,ISA 75.01,Brass,4-20 mA,,,,NOS,Yokogawa,YOK-PG-4-20mA-39,Mumbai Offshore Complex,Active,1624,2025-01-11,25777.31
NMDC,Mining,NMDC-410079,SPARE-PRESSURE GAUGE Brass 4-20 mA,Instrumentation,Pressure Gauge,ISA 75.01,Brass,4-20 mA,,,,NOS,Yokogawa,YOK-PG-4-20mA-58,Donimalai Iron Ore Mine,Active,6972,2025-01-12,25777.31
IOCL,Oil & Gas,IOCL-110072,4-20 mA Pressure Gauge - Brass,Instrumentation,Pressure Gauge,ISA 75.01,Brass,4-20 mA,,,,NOS,Yokogawa,YOK-PG-4-20mA-81,Barauni Refinery,Obsolete,11132,2024-08-17,25777.31
Coal India,Mining,CIL-400066,STORES ITEM PRESSURE GAUGE Brass 4-20 mA,Instrumentation,Pressure Gauge,ISA 75.01,Brass,4-20 mA,,,,NOS,Yokogawa,YOK-PG-4-20mA-64,Korba Coalfields,Active,13182,2025-05-04,25777.31
NTPC,Power,NTPC-200071,Pressure Gauge Brass 4-20 mA,Instrumentation,Pressure Gauge,ISA 75.01,Brass,4-20 mA,,,,NOS,Yokogawa,YOK-PG-4-20mA-88,Ramagundam STPS,Active,831,2025-07-18,20627.38
BHEL,Heavy Engineering,BHEL-500078,STORES ITEM PRESSURE GAUGE 4-20 mA Brass,Instrumentation,Pressure Gauge,ISA 75.01,Brass,4-20 mA,,,,NOS,Yokogawa,YOK-PG-4-20mA-66,Hazira Complex,Active,11851,2025-08-05,17479.82
NMDC,Mining,NMDC-410080,DN 50 EQUAL TEE - Alloy Steel,Pipes & Fittings,Equal Tee,ASME B16.5,Alloy Steel,DN 50,,DN 50,,MTR,Maharashtra Seamless,MAHSEA-ET-DN50-76,Donimalai Iron Ore Mine,Active,14326,2024-07-10,8864.3
Coal India,Mining,CIL-400067,STORES ITEM Equal Tee DN 50 Alloy Steel,Pipes & Fittings,Equal Tee,ASME B16.5,Alloy Steel,DN 50,,DN 50,,MTR,Maharashtra Seamless,MAHSEA-ET-DN50-96,Talcher Coalfields,Active,1961,2024-01-14,6527.18
ONGC,Oil & Gas,ONGC-100074,SPARE-DN 50 EQUAL TEE - Alloy Steel,Pipes & Fittings,Equal Tee,ASME B16.5,Alloy Steel,DN 50,,DN 50,,MTR,Maharashtra Seamless,MAHSEA-ET-DN50-59,Sivasagar Asset,Active,11359,2025-11-22,6340.84
NTPC,Power,NTPC-200072,"Equal Tee, Alloy Steel, SIZE DN 50",Pipes & Fittings,Equal Tee,ASME B16.5,Alloy Steel,DN 50,,DN 50,,MTR,Maharashtra Seamless,MAHSEA-ET-DN50-12,Vindhyachal STPS,Active,310,2025-12-13,7106.43
HPCL,Oil & Gas,HPCL-120079,STORES ITEM CENT. PUMP DN 80 Carbon Steel,Pumps,Centrifugal Pump,API 610,Carbon Steel,DN 80,,,,SET,KSB,KSB-CP-DN80-20,Mumbai Refinery,Slow-Moving,9638,2024-09-05,43197.61
